,ENGINE_COOLANT_TEMP,AMBIENT_AIR_TEMP,ENGINE_LOAD,MAF,THROTTLE_POS,SPEED,ENGINE_RPM,FUEL_LEVEL
0,82.0,4.0,36.9,8.46,27.1,30.0,1538,54.9
1,82.0,4.0,45.1,9.82,28.2,30.0,1484,55.3
2,82.0,4.0,48.2,10.4,29.0,30.0,1479,55.3
3,82.0,4.0,47.1,10.56,29.0,31.0,1518,55.7
4,82.0,4.0,20.4,1.98,18.8,29.0,998,55.7
5,82.0,4.0,41.2,3.9,17.6,26.0,950,55.7
6,83.0,4.0,40.8,4.26,19.6,20.0,771,55.7
7,83.0,4.0,22.4,3.21,19.2,15.0,928,55.3
8,83.0,4.0,37.6,4.36,21.6,11.0,720,55.3
9,83.0,4.0,40.4,4.69,20.8,6.0,789,55.3
10,83.0,4.0,34.5,3.83,20.0,3.0,810,54.9
11,83.0,4.0,38.8,4.06,20.4,1.0,793,54.9
12,83.0,4.0,38.4,4.3,20.4,0.0,798,54.9
13,83.0,4.0,36.9,4.34,20.4,0.0,805,54.9
14,83.0,4.0,36.9,3.94,20.4,0.0,809,55.3
15,83.0,4.0,36.5,4.27,20.4,0.0,801,55.3
16,83.0,4.0,38.0,4.29,20.4,0.0,804,55.3
17,83.0,4.0,37.3,4.26,20.4,0.0,779,55.7
18,83.0,4.0,40.4,4.31,20.4,0.0,786,55.7
19,84.0,4.0,79.6,7.95,28.6,13.0,723,55.7
20,84.0,4.0,55.3,12.74,30.6,23.0,1196,56.9
21,84.0,4.0,66.7,13.04,30.6,31.0,1330,57.3
22,85.0,4.0,51.8,8.4,27.1,33.0,1108,57.6
23,85.0,4.0,51.0,8.21,26.7,33.0,1111,57.6
24,86.0,4.0,50.6,8.39,27.1,34.0,1122,57.3
25,86.0,4.0,54.5,8.88,27.5,34.0,1122,57.3
26,86.0,4.0,52.2,8.78,27.5,35.0,1144,57.3
27,86.0,4.0,51.8,8.97,27.5,37.0,1210,57.3
28,85.0,4.0,49.8,9.31,27.8,39.0,1256,57.3
29,85.0,4.0,51.0,9.48,28.2,39.0,1296,57.3
30,85.0,4.0,46.7,12.1,29.8,34.0,1766,57.3
31,84.0,4.0,53.7,13.35,30.6,32.0,1666,57.3
32,84.0,4.0,55.3,13.76,30.6,37.0,1683,57.6
33,84.0,4.0,47.5,8.44,27.1,38.0,1236,57.6
34,84.0,4.0,47.8,8.71,27.5,38.0,1268,57.6
35,84.0,4.0,45.9,8.84,27.5,39.0,1296,57.6
36,84.0,4.0,44.7,7.75,26.3,37.0,1219,56.9
37,84.0,4.0,52.2,9.87,28.6,40.0,1325,56.9
38,84.0,4.0,18.0,3.3,19.2,37.0,1304,56.5
39,84.0,4.0,20.0,3.43,20.0,36.0,1209,56.5
40,84.0,4.0,38.8,4.79,20.0,38.0,1234,56.1
41,83.0,4.0,27.1,5.0,22.4,38.0,1269,56.1
42,83.0,4.0,18.0,3.48,20.4,39.0,1270,55.7
43,83.0,4.0,28.6,5.43,23.1,38.0,1295,55.7
44,82.0,4.0,38.8,7.43,25.5,36.0,1278,55.7
45,82.0,4.0,59.6,14.06,30.6,34.0,1610,56.1
46,82.0,4.0,48.6,12.66,30.2,37.0,1734,56.9
47,82.0,4.0,20.4,5.51,23.5,38.0,1848,56.9
48,82.0,4.0,17.6,4.93,22.7,36.0,1849,56.5
49,82.0,4.0,18.0,4.72,22.4,34.0,1758,56.1
50,82.0,4.0,27.1,5.93,24.3,32.0,1523,55.7
51,82.0,4.0,26.3,6.23,24.3,32.0,1578,55.7
52,82.0,4.0,26.3,6.48,25.1,33.0,1650,55.3
53,82.0,4.0,17.6,4.39,21.6,29.0,1621,55.3
54,82.0,4.0,18.8,3.92,21.2,24.0,1421,55.3
55,82.0,4.0,21.6,3.6,19.6,15.0,1169,54.5
56,82.0,4.0,38.8,4.23,20.4,10.0,801,52.5
57,82.0,4.0,58.8,11.41,29.8,16.0,1316,53.7
58,83.0,4.0,83.1,12.97,31.0,28.0,1095,54.5
59,83.0,4.0,54.5,9.12,27.5,34.0,1157,56.9
60,83.0,4.0,69.0,10.39,29.0,31.0,1059,57.3
61,83.0,4.0,69.8,10.47,29.0,31.0,1021,57.3
62,83.0,4.0,66.3,11.08,29.4,39.0,1137,57.3
63,83.0,4.0,15.3,3.03,20.0,39.0,1304,57.3
64,83.0,4.0,19.6,3.62,20.4,39.0,1301,56.9
65,83.0,4.0,19.2,3.52,20.4,37.0,1284,56.5
66,83.0,4.0,40.8,7.34,25.9,35.0,1213,56.5
67,82.0,4.0,40.0,6.73,25.1,31.0,1160,56.1
68,82.0,4.0,46.7,11.02,29.4,30.0,1512,56.1
69,82.0,4.0,59.2,13.38,30.6,33.0,1528,56.1
70,83.0,4.0,58.0,14.29,31.0,36.0,1687,56.5
71,83.0,4.0,28.2,4.82,21.6,35.0,1777,56.9
72,83.0,4.0,40.4,6.72,25.1,34.0,1153,56.5
73,83.0,4.0,40.4,6.45,24.7,33.0,1127,56.5
74,83.0,4.0,40.4,6.42,24.3,32.0,1103,56.1
75,83.0,4.0,17.6,2.76,18.8,33.0,1040,55.7
76,83.0,4.0,22.7,3.71,19.2,36.0,1140,55.3
77,83.0,4.0,18.8,3.37,20.0,37.0,1214,55.3
78,83.0,4.0,19.6,3.57,20.4,36.0,1248,55.3
79,83.0,4.0,20.0,3.49,20.0,32.0,1179,55.3
80,83.0,4.0,21.2,2.89,18.8,26.0,936,54.9
81,83.0,4.0,37.3,4.58,22.7,25.0,816,54.9
82,83.0,4.0,42.4,7.78,26.3,28.0,1277,54.9
83,83.0,4.0,40.4,8.3,26.7,32.0,1422,55.3
84,83.0,4.0,36.9,8.89,27.5,32.0,1626,55.3
85,82.0,4.0,36.1,5.24,23.1,33.0,1070,55.3
86,82.0,4.0,33.3,5.41,23.1,33.0,1102,54.9
87,83.0,4.0,23.5,3.76,19.6,33.0,1124,54.9
88,83.0,4.0,22.7,3.42,19.2,31.0,1070,54.9
89,83.0,4.0,27.5,3.89,19.6,29.0,1035,54.9
90,83.0,4.0,32.9,4.72,21.6,29.0,983,54.9
91,83.0,4.0,33.3,4.76,22.0,29.0,972,54.9
92,83.0,4.0,40.0,5.64,23.1,29.0,972,54.9
93,83.0,4.0,30.6,1.98,17.3,27.0,969,54.9
94,83.0,4.0,27.1,3.42,19.2,22.0,899,54.9
95,83.0,4.0,20.0,3.72,18.8,13.0,901,54.5
96,83.0,4.0,21.2,2.88,18.8,13.0,1003,54.1
97,83.0,4.0,34.1,5.11,21.6,3.0,819,53.3
98,82.0,4.0,62.7,9.83,28.6,12.0,851,52.5
99,82.0,4.0,30.2,5.58,24.7,25.0,1154,52.9
100,82.0,4.0,53.7,10.87,29.4,28.0,1396,53.7
101,82.0,4.0,53.7,11.29,29.4,29.0,1439,54.1
102,83.0,4.0,62.7,8.41,27.1,30.0,1065,55.3
103,83.0,4.0,54.1,7.87,26.7,29.0,1014,55.3
104,84.0,4.0,63.1,8.83,27.5,26.0,982,55.3
105,84.0,4.0,62.7,10.65,29.4,26.0,1308,55.3
106,84.0,4.0,60.4,11.7,29.8,27.0,1324,56.1
107,84.0,4.0,48.6,5.92,24.3,18.0,890,56.5
108,84.0,4.0,60.4,8.26,26.7,20.0,928,56.5
109,84.0,4.0,20.8,2.53,17.3,16.0,940,56.5
110,85.0,4.0,28.2,2.94,17.6,15.0,824,56.1
111,85.0,4.0,43.9,4.72,22.0,10.0,795,56.1
112,85.0,4.0,42.4,4.64,21.2,0.0,808,54.9
113,85.0,4.0,37.6,4.28,20.4,0.0,807,54.5
114,85.0,4.0,36.5,4.12,20.4,0.0,822,54.5
115,85.0,4.0,38.4,4.35,20.4,2.0,797,54.5
116,85.0,4.0,30.6,4.36,20.8,5.0,726,54.5
117,86.0,4.0,38.4,4.13,20.4,7.0,776,54.5
118,86.0,4.0,39.6,4.49,20.4,8.0,782,54.5
119,86.0,4.0,39.2,4.34,20.4,7.0,783,54.5
120,87.0,4.0,36.5,4.26,20.4,4.0,772,54.5
121,87.0,4.0,40.4,4.54,20.8,0.0,793,54.5
122,88.0,4.0,41.6,4.48,20.8,0.0,789,54.1
123,88.0,4.0,34.9,4.18,20.4,0.0,802,54.1
124,88.0,4.0,38.8,4.38,20.8,0.0,794,54.1
125,89.0,4.0,39.6,4.42,20.8,0.0,784,54.1
126,89.0,4.0,38.8,4.27,20.4,0.0,808,54.1
127,90.0,4.0,37.6,4.18,20.4,0.0,806,54.1
128,90.0,4.0,39.2,4.15,20.4,0.0,808,54.1
129,91.0,4.0,38.4,4.31,20.4,0.0,800,54.1
130,91.0,4.0,38.0,4.2,20.4,0.0,799,54.1
131,91.0,4.0,37.3,4.09,20.4,0.0,799,54.1
132,92.0,4.0,37.6,4.12,20.8,0.0,802,54.5
133,92.0,4.0,38.4,4.27,20.4,0.0,781,54.5
134,93.0,4.0,38.4,4.37,20.8,0.0,786,54.5
135,93.0,4.0,38.4,4.4,20.8,0.0,799,54.5
136,94.0,4.0,37.3,4.14,20.4,0.0,805,54.5
137,94.0,4.0,36.9,4.14,20.4,0.0,802,54.5
138,94.0,4.0,39.6,4.53,20.8,0.0,805,54.5
139,94.0,4.0,81.6,10.41,29.4,13.0,906,54.5
140,95.0,4.0,15.3,2.72,17.3,16.0,1137,55.3
141,95.0,4.0,18.4,3.4,20.0,13.0,1271,54.9
142,95.0,4.0,35.7,4.44,20.8,4.0,806,54.5
143,96.0,4.0,42.7,4.73,21.2,1.0,813,54.1
144,96.0,4.0,40.8,4.75,21.2,0.0,810,53.7
145,96.0,4.0,36.5,4.61,21.2,0.0,797,54.1
146,97.0,4.0,42.4,4.67,21.6,0.0,792,54.1
147,97.0,4.0,36.9,4.38,20.4,0.0,806,54.1
148,99.0,4.0,42.0,4.64,21.6,9.0,783,54.9
149,99.0,4.0,41.6,4.44,20.8,9.0,796,54.9
150,99.0,4.0,41.6,4.51,20.8,8.0,802,54.9
151,90.0,4.0,43.1,7.3,25.9,35.0,1169,54.9
152,89.0,4.0,40.8,6.76,25.1,36.0,1167,54.9
153,89.0,4.0,39.6,6.79,25.1,36.0,1188,54.9
154,83.0,4.0,48.2,12.38,29.8,55.0,1912,54.9
155,83.0,4.0,29.8,8.21,27.1,53.0,1804,54.9
156,83.0,4.0,17.6,4.64,22.4,51.0,1765,54.5
157,96.0,14.0,100.0,69.77,83.5,110.0,3441,44.7
158,96.0,14.0,100.0,76.29,83.5,113.0,3738,45.9
159,95.0,14.0,17.3,8.69,27.5,84.0,3528,44.3
160,94.0,14.0,18.0,5.55,22.7,65.0,2192,40.8
161,94.0,15.0,17.3,7.28,25.9,41.0,2877,37.3
162,93.0,15.0,42.0,5.01,20.4,4.0,809,34.9
163,93.0,15.0,40.0,4.42,20.4,0.0,767,32.9
164,93.0,15.0,36.9,3.86,19.6,0.0,815,33.7
165,93.0,15.0,38.8,3.87,20.0,8.0,797,34.9
166,93.0,15.0,100.0,56.19,83.5,37.0,2454,37.6
167,93.0,15.0,100.0,76.81,83.5,66.0,3732,40.8
168,94.0,15.0,100.0,19.29,31.0,83.0,5994,44.7
169,94.0,15.0,100.0,90.36,83.5,98.0,4272,46.3
170,95.0,15.0,100.0,66.3,83.5,103.0,3350,47.5
171,95.0,15.0,49.4,25.28,34.5,98.0,3419,47.1
172,95.0,15.0,16.9,6.25,24.3,73.0,2593,44.7
173,95.0,15.0,16.9,8.46,27.1,60.0,3387,41.6
174,94.0,15.0,16.9,7.11,25.9,51.0,2831,40.0
175,94.0,15.0,18.0,5.45,23.1,28.0,2078,38.0
176,93.0,15.0,45.5,14.94,31.0,34.0,2291,36.5
177,93.0,15.0,64.7,26.48,34.9,38.0,3009,38.8
178,93.0,15.0,18.8,9.23,29.8,42.0,2936,40.0
179,93.0,15.0,19.2,28.3,46.3,52.0,2536,41.6
180,93.0,15.0,18.0,6.94,25.5,44.0,2507,42.4
181,93.0,15.0,18.8,5.33,23.1,23.0,1978,41.2
182,94.0,15.0,35.7,3.65,19.2,7.0,890,39.2
183,94.0,15.0,35.3,4.16,20.4,1.0,801,38.0
184,94.0,15.0,38.4,4.14,20.4,0.0,786,37.6
185,95.0,15.0,34.5,4.02,20.0,0.0,804,38.4
186,95.0,15.0,36.5,4.11,20.0,0.0,801,39.2
187,96.0,15.0,35.7,4.03,20.0,0.0,796,40.0
188,96.0,15.0,37.6,4.13,20.4,0.0,789,40.4
189,97.0,15.0,35.7,3.96,20.0,0.0,799,40.8
190,97.0,15.0,41.2,4.56,20.8,10.0,780,41.2
191,98.0,15.0,100.0,37.66,32.2,23.0,2842,42.7
192,98.0,15.0,43.5,20.06,32.9,34.0,2013,43.9
193,99.0,15.0,100.0,71.46,83.5,61.0,3441,45.9
194,100.0,15.0,17.6,9.43,27.8,56.0,3466,48.6
195,100.0,15.0,18.0,6.71,25.5,50.0,2468,44.7
196,100.0,15.0,40.4,14.29,29.8,47.0,2497,43.1
197,99.0,15.0,46.7,17.49,32.2,49.0,2263,42.0
198,99.0,15.0,18.4,6.72,25.1,49.0,2354,42.4
199,98.0,15.0,26.3,6.92,25.1,48.0,2448,42.4
200,97.0,15.0,19.2,6.81,25.1,45.0,2347,41.2
201,96.0,15.0,23.5,6.4,25.1,27.0,2231,41.2
202,96.0,15.0,23.1,12.02,33.3,41.0,1942,38.4
203,95.0,15.0,100.0,84.08,83.5,67.0,3976,41.2
204,93.0,16.0,100.0,107.37,83.1,73.0,5315,43.5
205,93.0,16.0,44.3,15.7,31.0,82.0,4297,46.7
206,91.0,16.0,81.6,25.98,43.1,40.0,1436,34.1
207,91.0,16.0,18.4,13.97,30.6,59.0,5218,38.0
208,91.0,16.0,100.0,63.31,83.5,74.0,2860,40.8
209,91.0,16.0,100.0,68.52,45.1,87.0,3832,43.1
210,91.0,16.0,100.0,55.74,47.5,90.0,2894,43.9
211,91.0,16.0,17.3,7.93,28.6,86.0,2910,43.9
212,91.0,16.0,16.9,7.22,25.9,72.0,2802,43.1
213,91.0,16.0,17.6,4.38,20.8,64.0,1728,40.4
214,91.0,16.0,100.0,69.99,83.5,82.0,3406,40.0
215,91.0,16.0,100.0,88.53,83.5,76.0,4160,42.4
216,90.0,16.0,18.0,9.07,29.8,69.0,3373,41.2
217,90.0,16.0,18.0,8.71,27.1,59.0,3263,40.8
218,90.0,16.0,100.0,60.74,46.3,75.0,3283,39.6
219,90.0,16.0,18.0,10.43,29.0,71.0,3798,39.2
220,89.0,16.0,18.8,7.47,25.9,61.0,2855,34.9
221,89.0,16.0,100.0,66.32,83.5,78.0,3161,35.3
222,89.0,16.0,100.0,84.35,83.5,90.0,4043,39.2
223,89.0,16.0,31.8,64.29,45.9,58.0,4355,40.8
224,89.0,16.0,20.0,4.89,22.0,36.0,1830,35.7
225,89.0,16.0,100.0,65.51,49.4,60.0,3336,34.9
226,89.0,16.0,100.0,65.85,83.5,79.0,3174,38.4
227,89.0,17.0,100.0,85.52,83.5,94.0,4066,41.2
228,89.0,17.0,100.0,100.64,83.5,106.0,4793,43.9
229,89.0,17.0,100.0,107.45,83.1,107.0,5274,45.9
230,90.0,17.0,100.0,108.31,83.5,112.0,5357,45.5
231,90.0,17.0,17.3,13.67,30.6,101.0,5365,44.3
232,90.0,17.0,16.9,11.05,29.4,43.0,4457,41.6
233,89.0,17.0,17.6,6.46,25.5,43.0,2438,34.9
234,89.0,17.0,100.0,91.93,83.5,67.0,4248,37.3
235,90.0,17.0,17.6,13.92,30.6,54.0,5264,40.8
236,90.0,17.0,18.8,9.81,27.8,38.0,3789,38.8
237,90.0,17.0,100.0,81.62,83.5,68.0,3923,37.6
238,91.0,17.0,17.6,15.66,31.4,59.0,5786,41.6
239,92.0,17.0,18.0,10.9,29.4,18.0,4157,38.4
240,92.0,17.0,51.4,6.39,23.5,17.0,730,32.9
241,92.0,17.0,94.5,23.21,34.9,21.0,1790,32.5
242,93.0,17.0,38.0,4.22,19.6,17.0,830,34.5
243,94.0,17.0,36.5,4.04,20.4,20.0,790,33.3
244,95.0,17.0,34.9,4.04,19.6,14.0,815,33.3
245,95.0,17.0,39.6,4.35,20.4,0.0,784,33.3
246,96.0,17.0,51.0,10.69,31.8,6.0,762,32.2
247,96.0,17.0,34.9,3.55,19.2,0.0,795,32.2
248,96.0,17.0,39.6,4.53,20.8,0.0,797,33.7
249,97.0,17.0,0.0,0.0,23.9,0.0,0,34.5
